msb,post_url,Q_regex,A_regex,Eq,Ea,Ec
1,https://stackoverflow.com/questions/7407099,\{[0-9]:[0-9]\},\{[0-9]+:[0-9]+\},[],"['{222:115}', '{999:999}']","['{4:3}', '{4:2}']"
2,https://stackoverflow.com/questions/20699841,(19|20)\d\d[- /.](0[1-9]|1[012])[- /.](0[1-9]|[12][0-9]|3[01]),\d{4}[- /.](0[1-9]|1[012])[- /.](0[1-9]|[12][0-9]|3[01]),[],"['3000-01-01', '5000-01-01']",[]
3,https://stackoverflow.com/questions/33145084,[A-Z0-9]+,[A-Z0-9#-]+,[],"['A-59#', 'A453#', 'A-Z0-9']",[]
4,https://stackoverflow.com/questions/19746891,"(\d{1,18})+(\.\d{1})?","(\d{1,18})(\.\d{1})?","['1234567891234567891', '1234567891234567891.0']",[],"['100.1', '123456789123456789.2', '1.0', '123456789123456789', '18']"
5,https://stackoverflow.com/questions/8222813,"((\w+([-+.']\w+)*@\w+([-.]\w+)*\.\w+([-.]\w+)*)*([,])*)*","((\w+([-+.']\w+)*@\w+([-.]\w+)*\.\w+([-.]\w+)*)*([, ])*)*",[],"['email1@domain.com,  email2@domain.com']","['email1@domain.com,email2@domain.com']"
6,https://stackoverflow.com/questions/3591854,"[A-Za-z0-9]{1,30}\.[a-z]{3}((\.)[a-z]{2})?","([A-Za-z0-9]{1,30}\.)+[a-z]{3}((\.)[a-z]{2})?",[],['abc.abc.com.ae'],"['abc.com.ae', 'abc.com']"
7,https://stackoverflow.com/questions/52113845,([0-9]) (0[1-9]|[12][0-9]|3[01])[- /.](0[1-9]|1[012])[- /.](19|20)\d\d,([0-9]+) (0[1-9]|[12][0-9]|3[01])[ /.-](0[1-9]|1[012])[ /.-](19|20)\d\d,[],['1513592758 18/12/2017'],[]
8,https://stackoverflow.com/questions/12472976,\d[0-9]{2}(.|-)\d[0-9]{2}(.|-)\d[0-9]{4},\d{2}(\.|-)\d{2}(\.|-)\d{4},[],"['10-02-2012', '10.02.2012']",[]
9,https://stackoverflow.com/questions/28379974,[0-9]+.\.,[0-9]+\.,[],"['3.', '1.', '2.']",[]
10,https://stackoverflow.com/questions/27808128,[4-9][0-9]\.,"([4-9][0-9]|\d{3,})\.",[],"['999.', '1000.']",['40.']
11,https://stackoverflow.com/questions/2338044,([A-Za-z0-9-]+),([A-Za-z0-9\-\_]+),[],['product_name'],"['sure', 'like', 'on', 'dashes', 'how', 'using', 'product-name', 'be', 'numbers', 'can', 'letters', 'Im', 'same', 'know', 'not', 'Anyone', 'would', 'able', 'also', 'Currently', 'match', 'am', 'the', 'A-Za-z0-9-', 'expression', 'this', 'to', 'underscores', 'achieve', 'matches', 'which', 'and', 'in']"
12,https://stackoverflow.com/questions/47170535,[A-Za-z]+[A-Za-z]+\([0-2]\),([A-Za-z]+\s)+\(\d\)\s[>]\s,[],"['Word Word (2) >', 'Word Word (1) >']",[]
13,https://stackoverflow.com/questions/43718682,iqn\.(\d{4}-\d{2})\.([^:]+),"iqn\.(\d{4}-\d{2})\.([^:]+)(:)([^,:\s']+)","['iqn.1991-05.com.microsoft', 'iqn.2002-07.com.microsoft', 'iqn.1998-01.com.vmware.iscsi']","['iqn.1998-01.com.vmware.iscsi:name999', 'iqn.1991-05.com.microsoft:abc.com']",[]
14,https://stackoverflow.com/questions/38484378,https?:\/\/\S.flickr.net,https?:\/\/(\S*\.)?flickr\.net,[],"['https://www.flickr.net', 'https://blog.flickr.net', 'https://flickr.net']",[]
15,https://stackoverflow.com/questions/51665881,"(https?:\/\/)?([\da-z\.-]+)\.([a-z\.]{2,6})([\/\w \.-]*)*\/?","(https:\/\/|git+)@?([\da-z\.-]+)\.([a-z\.]{2,6})(:|[\/\w \.-]*)*\/?(.git)","['pp.git', 'github.com']",['git@github.com:username/MyApp.git'],['https://github.com/username/MyApp.git']
16,https://stackoverflow.com/questions/2910971,[a-z][_][a-z],[a-z]+_[a-z]+,[],['blah_blah'],[]
17,https://stackoverflow.com/questions/18053256,(([4-9]+\d*(\.((\*)|([2-9]+(\.((\*)|([0-9]+)))?)))?)),([4-9]\.[2-9]\d*|[4-9]\.\d\d+|[5-9](\.\d+)?|\d\d+(\.\d+)?),[],"['6.1', '5.1']",[]
18,https://stackoverflow.com/questions/55110462,(UAD){3}[*0-9a-zA-Z]{4}[*0-9a-zA-Z]{4},REF-[0-9a-zA-Z]{4}-[0-9a-zA-Z]{4},[],['REF-12AB-1A3B'],[]
19,https://stackoverflow.com/questions/1238943,"([0-9]){0,2}\.([0-9]){0,2}","[0-9]{0,2}(\.[0-9]{1,2})?",[],['00'],"['00.0', '00.00']"
20,https://stackoverflow.com/questions/20096813,([A-z]+)[0-1]+.png,([a-zA-Z]+)[0-9].png,[],['main2.png'],['barracks1.png']
21,https://stackoverflow.com/questions/38612062,[a-z]{8|12},[a-z]{8}([a-z]{4})?,['12}'],"['solution', 'repeatin']",[]
22,https://stackoverflow.com/questions/53887591,"\d*(\,)?[\[:space:\]]?([dDcCkKhHmMn]m|m|dam)\d*","\d*(\,)?[\[:space:\]]?(\d*)?([dDcCkKhHmMn]m|m|dam)\d*",[],"['1,26m']","[']m', 'dam', 'mm', '100cm', 'Hm']"
23,https://stackoverflow.com/questions/27044725,gtm\.*click|gtm.formSubmit,gtm\.(click|linkClick|formSubmit),[],['gtm.linkClick'],"['gtm.formSubmit', 'gtm.click']"
24,https://stackoverflow.com/questions/15972373,"\d+.\d{0,2}","\d+\.?\d{0,2}","['0,2']",[],['10']
25,https://stackoverflow.com/questions/39631270,"(\-?\d+(\.\d+)?),\s*(\-?\d+(\.\d+)?)",(\d+\.\d+),"['3.156831, 101.711125']","['101.711125', '3.156831']",[]
26,https://stackoverflow.com/questions/7187697,[a-z0-9]*@metu\.edu,[a-z0-9]+[.]?[a-z0-9]+@metu\.edu,[],['herp.derp@metu.edu'],[]
27,https://stackoverflow.com/questions/11298172,([0-1]?\d|2[0-3]):([0-5]?\d):([0-5]?\d),(1[012]|0?\d):[0-5]?\d(:[0-5]?\d)?\s+[AaPp][Mm]?,"['6:3:5', '06:03:05']","['6:3:5 AM', '06:03:05 AM', '06:03 pm']",[]
28,https://stackoverflow.com/questions/37896271,[\d]*[-+*/^][\d]*([-+*/^][\d]*)*,[\d]+([\-\+^\*/][\d]+)*,"['34+-/^34', '-+*/^']",['34'],['34+45*5^7/3-5']
29,https://stackoverflow.com/questions/21297597,[0-2]{1}W|[1-12]{2}M|[1-2]{1}Y,([1-3]W|[1-9]M|1[0-2]M|[12]Y),[],['3W'],"['2W', '1W']"
30,https://stackoverflow.com/questions/14848174,[1-9][0-9]*,"\d{0,13}",[],[],"['13', '919089098909', '9089098909']"
31,https://stackoverflow.com/questions/56482610,\S*\s\{.*?\}\S[^{\s]*,\w+\s+\{\w+\}\s+\w+,['word {word}.'],['word {word} word'],[]
32,https://stackoverflow.com/questions/4596896,42\.[6-9][0-6],42\.(6[7-9]|7[0-9]|8[0-6]),[],['42.67'],['42.86']
33,https://stackoverflow.com/questions/37002125,(([01]?[8-9]|20):[0-5][0-9])|21:00,(0[8-9]:[0-5][0-9]|1[0-9]:[0-5][0-9]|20:[0-5][0-9]|21:00),[],"['10:00', '12:47', '16:19']","['21:00', '19:59', '08:00']"
34,https://stackoverflow.com/questions/46882143,(\d+)?(\W*)(\[|\()(.*),\d{4} - [(\[]?[\w\s]*\]?,[],"['6130 - Office Configuration', '6130 - Office Configuration  6130']",[]
35,https://stackoverflow.com/questions/7261468,"[0-9a-z]{5,500}","[0-9A-Za-z][0-9A-Za-z-]{3,498}[0-9A-Za-z]",[],"['Thanks', 'Supported', '0-9a-z']","['dashes', 'suggestions', 'create', 'least', 'working', 'meets', 'ending', 'above', 'characters', 'criteria', 'middle', 'regex', 'starting', 'update', 'following', 'conditions', 'never']"
36,https://stackoverflow.com/questions/32834038,"([aieou]*[aieou]){2,}",([aeiou]{2}),['aieou'],[],"['oe', 'oi', 'io', 'eo', 'ai']"
37,https://stackoverflow.com/questions/21601430,[A-za-z]{2}[0-9]{6},(RQ\d{6}|INM\d{8}),['NM123456'],['INM12345678'],['RQ123456']
38,https://stackoverflow.com/questions/15924181,\{:d+\}:n,\d+:n,[],"['2:n', '1:n', '0:n']",[]
39,https://stackoverflow.com/questions/831121,abc[!e],abc[^e]?,['abce'],"['abc', 'abc[', 'abcd', 'abcf']",[]
40,https://stackoverflow.com/questions/52065706,[0-9]?[0-9]in,(\d+(\.\d+)?)in,[],['30.01in'],['30in']
41,https://stackoverflow.com/questions/27178208,"([0-9]{1,3}|1000)","(-?1000|-?\d{1,3})",[],"['-9', '-1000']",['1000']
42,https://stackoverflow.com/questions/6803313,\$[I-VI].[1-99].[1-99].[1-99],"\$(I|II|III|IV|V|VI)(\.[0-9]{1,2})+",[],"['$V.23.38.1.23', '$II.4.13', '$IV.1.1.1.1.1']",[]
43,https://stackoverflow.com/questions/25556872,[0-6],(\.5|[0-5](\.5)?|6),[],"['.5', '1.5']",[]
44,https://stackoverflow.com/questions/14743585,[a]{1}[b]{1}[abc|cab|bca|acb|ac|ca|ab|bc|cb][b]{1}[a]{1},ab(a|c|b+[c])*b+a,[],"['abccba', 'abccabba']",[]
45,https://stackoverflow.com/questions/39473119,(1|5000|-[1-9]\d?),"([1-9]|\d{2,3}|[1-4]\d{3}|5000)","['-9', '-50']",['000'],[]
46,https://stackoverflow.com/questions/13821314,"([a-z]+)[.][0-9]{0,3}[.][0-9]{0,3}[.][0-9]{0,3}[.]tgz",([a-z]+)\.([0-9]+\.)+tgz,[],['az.4.0.0.119.tgz'],[]
47,https://stackoverflow.com/questions/15207608,\[Total execution Time: (.+) min,Total execution Time: ([\d.]+).*\r?.*\r?.*\[Step 1\s,[],[],[]
48,https://stackoverflow.com/questions/13814340,[a-zA-Z]*,[a-zA-Z ]*,[],"['t allow spaces', 't work', 'but with spaces allowed between words', 'i have tried the following but it doesn', 'can i change it to make it allow spaces']","['doesn', 'zA']"
